Rank,State,Population 2024,Population 2023,Growth Rate,% of US,Density (/mile2),State Abbreviation,mother
1,California,38889770,38965193,-0.0019,0.1158,250,CA,California (CA)
2,Texas,30976754,30503301,0.0155,0.0922,119,TX,Texas (TX)
3,Florida,22975931,22610726,0.0162,0.0684,428,FL,Florida (FL)
4,New York,19469232,19571216,-0.0052,0.058,413,NY,New York (NY)
5,Pennsylvania,12951275,12961683,-0.0008,0.0386,289,PA,Pennsylvania (PA)
6,Illinois,12516863,12549689,-0.0026,0.0373,225,IL,Illinois (IL)
7,Ohio,11812173,11785935,0.0022,0.0352,289,OH,Ohio (OH)
8,Georgia,11145304,11029227,0.0105,0.0332,194,GA,Georgia (GA)
9,North Carolina,10975017,10835491,0.0129,0.0327,226,NC,North Carolina (NC)
10,Michigan,10041241,10037261,0.0004,0.0299,178,MI,Michigan (MI)
11,New Jersey,9320865,9290841,0.0032,0.0278,1267,NJ,New Jersey (NJ)
12,Virginia,8752297,8715698,0.0042,0.0261,222,VA,Virginia (VA)
13,Washington,7841283,7812880,0.0036,0.0233,118,WA,Washington (WA)
14,Arizona,7497004,7431344,0.0088,0.0223,66,AZ,Arizona (AZ)
15,Tennessee,7204002,7126489,0.0109,0.0214,175,TN,Tennessee (TN)
16,Massachusetts,7020058,7001399,0.0027,0.0209,900,MA,Massachusetts (MA)
17,Indiana,6892124,6862199,0.0044,0.0205,192,IN,Indiana (IN)
18,Missouri,6215144,6196156,0.0031,0.0185,90,MO,Missouri (MO)
19,Maryland,6196525,6180253,0.0026,0.0184,638,MD,Maryland (MD)
20,Wisconsin,5931367,5910955,0.0034,0.0177,110,WI,Wisconsin (WI)
21,Colorado,5914181,5877610,0.0062,0.0176,57,CO,Colorado (CO)
22,Minnesota,5761530,5737915,0.0041,0.0172,72,MN,Minnesota (MN)
23,South Carolina,5464155,5373555,0.0169,0.0163,182,SC,South Carolina (SC)
24,Alabama,5143033,5108468,0.0068,0.0153,102,AL,Alabama (AL)
25,Louisiana,4559475,4573749,-0.0031,0.0136,106,LA,Louisiana (LA)
26,Kentucky,4540745,4526154,0.0032,0.0135,115,KY,Kentucky (KY)
27,Oregon,4227337,4233358,-0.0014,0.0126,44,OR,Oregon (OR)
28,Oklahoma,4088377,4053824,0.0085,0.0122,60,OK,Oklahoma (OK)
29,Connecticut,3625646,3617176,0.0023,0.0108,749,CT,Connecticut (CT)
30,Utah,3454232,3417734,0.0107,0.0103,42,UT,Utah (UT)
31,Iowa,3214315,3207004,0.0023,0.0096,58,IA,Iowa (IA)
32,Nevada,3210931,3194176,0.0053,0.0096,29,NV,Nevada (NV)
33,Arkansas,3089060,3067732,0.0069,0.0092,59,AR,Arkansas (AR)
34,Kansas,2944376,2940546,0.0013,0.0088,36,KS,Kansas (KS)
35,Mississippi,2940452,2939690,0.0003,0.0088,63,MS,Mississippi (MS)
36,New Mexico,2115266,2114371,0.0004,0.0063,17,NM,New Mexico (NM)
37,Idaho,1990456,1964726,0.0131,0.0059,24,ID,Idaho (ID)
38,Nebraska,1988698,1978379,0.0052,0.0059,26,NE,Nebraska (NE)
39,West Virginia,1766107,1770071,-0.0022,0.0053,73,WV,West Virginia (WV)
40,Hawaii,1430877,1435138,-0.003,0.0043,223,HI,Hawaii (HI)
41,New Hampshire,1405105,1402054,0.0022,0.0042,157,NH,New Hampshire (NH)
42,Maine,1402106,1395722,0.0046,0.0042,45,ME,Maine (ME)
43,Montana,1142746,1132812,0.0088,0.0034,8,MT,Montana (MT)
44,Rhode Island,1098082,1095962,0.0019,0.0033,1062,RI,Rhode Island (RI)
45,Delaware,1044321,1031890,0.0121,0.0031,536,DE,Delaware (DE)
46,South Dakota,928767,919318,0.0103,0.0028,12,SD,South Dakota (SD)
47,North Dakota,788940,783926,0.0064,0.0023,11,ND,North Dakota (ND)
48,Alaska,733536,733406,0.0002,0.0022,1,AK,Alaska (AK)
49,Vermont,647818,647464,0.0006,0.0019,70,VT,Vermont (VT)
50,Wyoming,586485,584057,0.0042,0.0017,6,WY,Wyoming (WY)
